lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,aeloss_epoch,discloss_epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch,valid_ssim_epoch
5e-06,5e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,119.16407012939453,3813.250244140625,0.0,497.599365234375,3813.249755859375,0.2327422946691513,5000.0,0.0,1.1598830223083496,0.0,0.0,-1.1545982360839844,-1.1598830223083496,0,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,0,119.16407012939453,0.0,,,,,,,,,,,,,,
5e-06,5e-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,120.9951171875,3871.84375,0.0,501.11895751953125,3871.84326171875,0.23631855845451355,5000.0,0.0,1.1380864381790161,0.0,0.0,-1.0763750076293945,-1.1380864381790161,1,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,1,120.9951171875,0.0,,,,,,,,,,,,,,
5e-06,5e-06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,121.60870361328125,3891.478515625,0.0,505.73175048828125,3891.47802734375,0.23751696944236755,5000.0,0.0,1.1473618745803833,0.0,0.0,-1.1691268682479858,-1.1473618745803833,2,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,2,121.60870361328125,0.0,,,,,,,,,,,,,,
5e-06,5e-06,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,120.72746276855469,3863.27880859375,0.0,510.23291015625,3863.2783203125,0.235795795917511,5000.0,0.0,1.1501047611236572,0.0,0.0,-1.0788954496383667,-1.1501047611236572,3,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,3,120.72746276855469,0.0,,,,,,,,,,,,,,
5e-06,5e-06,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,119.78365325927734,3833.076904296875,0.0,508.44512939453125,3833.076416015625,0.23395241796970367,5000.0,0.0,1.1428378820419312,0.0,0.0,-1.0813814401626587,-1.1428378820419312,4,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,4,,,0.23154756426811218,3793.67578125,0.0,505.93206787109375,3793.67529296875,0.0,0.0,0.5083165168762207,0.0,-0.49801409244537354,-0.5083165168762207,0.09831181168556213,0.20746785402297974,0.9920132756233215
,,4,,,,,,,,,,,,,,4,119.78365325927734,0.0,,,,,,,,,,,,,,
