lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch,valid_ssim_epoch,aeloss_epoch,discloss_epoch
5e-06,5e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,112.88438415527344,3612.30029296875,0.0,505.062255859375,3612.2998046875,0.22047728300094604,5000.0,0.0,1.148148536682129,0.0,0.0,-1.0939470529556274,-1.148148536682129,0,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,0,0.21051907539367676,3449.14501953125,0.0,528.9625854492188,3449.14453125,0.0,0.0,0.1818796694278717,0.0,-0.17929668724536896,-0.1818796694278717,0.08148638904094696,0.1872495859861374,0.9943922758102417,,
,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,112.88438415527344,0.0
5e-06,5e-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,112.62872314453125,3604.119140625,0.0,505.1577453613281,3604.11865234375,0.2199779450893402,5000.0,0.0,1.1462528705596924,0.0,0.0,-1.0959630012512207,-1.1462528705596924,1,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,1,0.213480144739151,3497.6591796875,0.0,528.9625854492188,3497.65869140625,0.0,0.0,0.2905973792076111,0.0,-0.2898819148540497,-0.2905973792076111,0.08413276076316833,0.1904299557209015,0.9940375089645386,,
,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,112.62872314453125,0.0
5e-06,5e-06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,112.64506530761719,3604.64208984375,0.0,508.5453796386719,3604.6416015625,0.22000986337661743,5000.0,0.0,1.1423475742340088,0.0,0.0,-1.0763167142868042,-1.1423475742340088,2,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,2,0.20589564740657806,3373.394775390625,0.0,528.9625854492188,3373.394287109375,0.0,0.0,0.36823341250419617,0.0,-0.3663918077945709,-0.36823341250419617,0.07635381817817688,0.18197542428970337,0.9949204325675964,,
,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,112.64506530761719,0.0
5e-06,5e-06,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,112.33477783203125,3594.712890625,0.0,509.6871643066406,3594.71240234375,0.21940383315086365,5000.0,0.0,1.1336133480072021,0.0,0.0,-1.0587046146392822,-1.1336133480072021,3,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,3,0.20892944931983948,3423.1005859375,0.0,528.9625854492188,3423.10009765625,0.0,0.0,0.42672672867774963,0.0,-0.4266029894351959,-0.42672672867774963,0.07944934070110321,0.18541976809501648,0.9945120811462402,,
,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,112.33477783203125,0.0
5e-06,5e-06,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,113.28321075439453,3625.062744140625,0.0,507.08465576171875,3625.062255859375,0.22125624120235443,5000.0,0.0,1.1483299732208252,0.0,0.0,-1.1009080410003662,-1.1483299732208252,4,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,4,0.21015456318855286,3443.1728515625,0.0,528.9625854492188,3443.17236328125,0.0,0.0,0.47128286957740784,0.0,-0.47024425864219666,-0.47128286957740784,0.07814601063728333,0.18570414185523987,0.9947077035903931,,
,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,113.28321075439453,0.0
